06/01/2024   02:43:14  AM|ARGUMENT|11XX  HOIHOI AVE|WAHIAWA|District 2
06/01/2024   02:40:58  AM|MVC VEH TOWED|LILIHA ST / LILIHA PL|NUUANU|District 5
06/01/2024   02:36:11  AM|DUI|1XX  H1E FWY|AIEA|District 3
06/01/2024   02:23:16  AM|MVC VEH TOWED|KALAKAUA AVE / S KING ST|HONOLULU|District 1
06/01/2024   02:20:50  AM|DUI|FORT WEAVER RD / KOLOWAKA DR|EWA BEACH|District 8
06/01/2024   02:19:51  AM|MISC SERVICE CALL|9204XX  AKAULA ST|MAKAKILO|District 8
06/01/2024   02:18:16  AM|DUI|KUNIA ONTO H1E|WAIPAHU|District 3
06/01/2024   02:17:07  AM|DUI|FORT WEAVER RD / KOLOWAKA DR|EWA BEACH|District 8
06/01/2024   02:10:44  AM|VEH TOWED|S NIMITZ HWY / BISHOP ST|DOWNTOWN|District 1
06/01/2024   02:01:39  AM|MISC PUB|5104XX  KAM HWY|KAAAWA|District 4
06/01/2024   01:52:10  AM|MVC|H1W H2N OFF|WAIPAHU|District 3
06/01/2024   01:47:42  AM|DUI|KAM HWY / KAONOHI ST|AIEA|District 3
06/01/2024   01:29:12  AM|ICF/SCF|42XX  N NIMITZ HWY|AIRPORT|District 5
06/01/2024   01:17:35  AM|DUI|9111XX  MAKAALOA ST|EWA BEACH|District 8
06/01/2024   00:58:37  AM|MISC PUB|28XX  KALAKAUA AVE|WAIKIKI|District 6
06/01/2024   00:32:38  AM|FAMILY OFF/NEG|25XX  LEMON RD|WAIKIKI|District 6
05/31/2024   23:31:29  PM|UNATTENDED DEATH|12XX  WILDER AVE|MAKIKI|District 1
