05/30/2024   06:43:45  AM|ICF/SCF|8XX  S BERETANIA ST|HONOLULU|District 1
05/30/2024   06:40:48  AM|VEH TOWED|4XX  KALAIMOKU ST|WAIKIKI|District 6
05/30/2024   06:40:05  AM|UNATTENDED DEATH|9411XX  HUAKAI ST|WAIPAHU|District 3
05/30/2024   06:39:53  AM|ARGUMENT|4502XX  KANEOHE BAY DR|KANEOHE|District 4
05/30/2024   06:36:24  AM|MVC|13XX  GLEN AVE|WAHIAWA|District 2
05/30/2024   06:32:18  AM|SUSP PERSON|8600XX  LEIHOKU ST|WAIANAE|District 8
05/30/2024   06:26:04  AM|PARKING VIOLATION|9912XX  HALAWA HTS RD|AIEA|District 3
05/30/2024   06:23:37  AM|VEH TOWED|ULUNIU AVE / KUHIO AVE|WAIKIKI|District 6
05/30/2024   06:19:04  AM|TRESPASS|23XX  KALAKAUA AVE|WAIKIKI|District 6
05/30/2024   06:07:24  AM|PARKING VIOLATION|4505XX  PAHIA RD|KANEOHE|District 4
05/30/2024   06:04:12  AM|VEH TOWED|22XX  KALAKAUA AVE|WAIKIKI|District 6
05/30/2024   05:58:17  AM|AUTO THEFT|18XX  KAPIOLANI BLVD|MCCULLY|District 7
05/30/2024   05:51:00  AM|MEDICAL ASSIST|18XX  HOOKOE ST|PEARL CITY|District 3
05/30/2024   04:05:16  AM|AUTO THEFT RECOVERY|8904XX  FARRINGTON HWY|NANAKULI|District 8
