04/29/2023   21:14:00  PM|SUSP CIRCUMSTANCE|H3W LOOKOUT|KANEOHE|District 4
04/29/2023   21:12:19  PM|FOLLOW UP|6XX  ALA MOANA BLVD|KAKAAKO|District 1
04/29/2023   21:12:08  PM|MEDICAL ASSIST|23XX  KALAKAUA AVE|WAIKIKI|District 6
04/29/2023   21:10:32  PM|INDECENT EXPOSURE|8901XX  FARRINGTON HWY|NANAKULI|District 8
04/29/2023   21:09:45  PM|DEFIB CALL|4XX  N KING ST|DOWNTOWN|District 1
04/29/2023   21:08:42  PM|MVC|13XX  PUNAHOU ST|HONOLULU|District 1
04/29/2023   21:06:13  PM|HAZARDOUS DRIVER|H1E EXIT20B VINEYARD|KALIHI|District 5
04/29/2023   21:04:00  PM|NUISANCE COMPLAINT|11XX  PUA LN|KALIHI|District 5
04/29/2023   20:53:50  PM|ARGUMENT FAMILY|4XX  KUWILI ST|KALIHI|District 5
04/29/2023   20:51:07  PM|MISC PUB|26XX  ALA WAI BLVD|WAIKIKI|District 6
04/29/2023   20:49:55  PM|THREATENING|8701XX  KULAAUPUNI ST|MAILI|District 8
04/29/2023   19:54:58  PM|MISC PUB|16XX  ALA LANI|MOANALUA V|District 5
04/29/2023   19:51:00  PM|MVC VEH TOWED|3XX  POIPU DR|HAWAII KAI|District 7
04/29/2023   19:33:22  PM|HARASSMENT|KALAKAUA AVE / OHUA AVE|WAIKIKI|District 6
04/29/2023   19:29:29  PM|MISC PUB|9206XX  WELO ST|MAKAKILO|District 8
