06/19/2023   23:40:54  PM|DISORDERLY CONDUCT|21XX  N SCHOOL ST|KALIHI|District 5
06/19/2023   23:38:38  PM|MEDICAL ASSIST|4104XX  SADDLE CITY RD|WAIMANALO|District 4
06/19/2023   23:38:09  PM|MISC SERVICE CALL|9412XX  KA UKA BLVD|WAIPIO|District 3
06/19/2023   23:33:28  PM|SUSP PERSON|11XX  PALEA WAY|HAWAII KAI|District 7
06/19/2023   23:22:55  PM|MISC PUB|XX  N NIMITZ HWY|DOWNTOWN|District 1
06/19/2023   23:18:07  PM|MISC PUB|KUALAKAI PKWY / H1E FWY|KAPOLEI|District 8
06/19/2023   23:15:24  PM|ARGUMENT FAMILY|14XX  GLEN AVE|WAHIAWA|District 2
06/19/2023   23:11:02  PM|MISC PUB|FARRINGTON HWY / KAHUALII ST|WAIPAHU|District 3
06/19/2023   23:08:40  PM|MISC SERVICE CALL|5600XX  KAM HWY|LAIE|District 4
06/19/2023   23:00:36  PM|VEH TOWED|6904XX  FARRINGTON HWY|MOKULEIA|District 2
06/19/2023   22:52:53  PM|BURGLARY|9110XX  SARATOGA AVE|KALAELOA|District 8
06/19/2023   22:48:48  PM|MISC PUB|9816XX  KAAHUMANU ST|PEARL CITY|District 3
06/19/2023   22:34:53  PM|MISC PUB|21XX  AHE ST|KAIMUKI|District 7
