01/11/2025   10:44:01  AM|HAZARDOUS DRIVER|KUALA ST / MAKOLU ST|PEARL CITY|District 3
01/11/2025   10:42:23  AM|MEDICAL ASSIST|1XX  N BERETANIA ST|DOWNTOWN|District 1
01/11/2025   10:41:50  AM|MISC SERVICE CALL|WILDER AVE / LIHOLIHO ST|MAKIKI|District 1
01/11/2025   10:37:57  AM|PARKING VIOLATION|9XX  MAUNAWILI RD|KAILUA|District 4
01/11/2025   10:34:58  AM|PARKING VIOLATION|WAIMANU ST / DREIER ST|HONOLULU|District 1
01/11/2025   10:33:08  AM|SUSP CIRCUMSTANCE|4706XX  MAPELE RD|KANEOHE|District 4
01/11/2025   10:32:28  AM|MEDICAL ASSIST|8600XX  FARRINGTON HWY|WAIANAE|District 8
01/11/2025   10:28:55  AM|VEH TOWED|8602XX  LEIPUPU PL|WAIANAE|District 8
01/11/2025   10:26:33  AM|WARRANT ARREST|7XX  AMANA ST|HONOLULU|District 1
01/11/2025   10:22:39  AM|ARGUMENT FAMILY|9113XX  KAMAHOI ST|EWA BEACH|District 8
01/11/2025   08:53:27  AM|MISC PUB|14XX  KONA ST|ALA MOANA|District 1
01/11/2025   08:25:41  AM|MISC PUB|6704XX  WAIALUA BEACH RD|MOKULEIA|District 2
