02/01/2024   20:44:00  PM|DEFIB CALL|12XX  ULUPALAKUA ST|KAILUA|District 4
02/01/2024   20:43:30  PM|DRUGS/NARCOTICS|48XX  WARDEN AVE|MOANALUA|District 5
02/01/2024   20:42:18  PM|MEDICAL ASSIST|3XX  SUMNER ST|KALIHI|District 5
02/01/2024   20:39:01  PM|ORDER VIOLATION|16XX  AHIAHI PL|KALIHI|District 5
02/01/2024   20:37:07  PM|AUTO THEFT|7XX  WILIKINA DR|WAHIAWA|District 2
02/01/2024   20:34:06  PM|PARKING VIOLATION|31XX  ESTHER ST|KAPAHULU|District 7
02/01/2024   20:30:26  PM|ARGUMENT FAMILY|9504XX  KAULIA PL|MILILANI|District 2
02/01/2024   20:27:07  PM|FAMILY OFF/NEG|8607XX  LUALUALEI HMSTD RD|WAIANAE|District 8
02/01/2024   20:26:18  PM|MEDICAL ASSIST|8901XX  KAWAO AVE|NANAKULI|District 8
02/01/2024   20:25:31  PM|MISC PUB|6604XX  KAM HWY|HALEIWA|District 2
02/01/2024   20:15:17  PM|AUTO THEFT|22XX  KUHIO AVE|WAIKIKI|District 6
02/01/2024   20:03:52  PM|MISC CRIME OFFENSE|S BERETANIA ST / KEEAUMOKU ST|HONOLULU|District 1
02/01/2024   18:31:30  PM|PROPERTY DAMAGE|1XX  N BERETANIA ST|DOWNTOWN|District 1
02/01/2024   16:02:51  PM|UNATTENDED DEATH|8504XX  FARRINGTON HWY|WAIANAE|District 8
