01/15/2024   17:28:58  PM|MEDICAL ASSIST|9610XX  WAIHONA ST|PEARL CITY|District 3
01/15/2024   17:27:07  PM|FAMILY OFF/NEG|4XX  KAMOKILA BLVD|KAPOLEI|District 8
01/15/2024   17:25:16  PM|NUISANCE COMPLAINT|8717XX  FARRINGTON HWY|NANAKULI|District 8
01/15/2024   17:10:15  PM|FRAUD|3XX  KEAHOLE ST|HAWAII KAI|District 7
01/15/2024   17:09:35  PM|HARASSMENT|SEASIDE AVE / KALAKAUA AVE|WAIKIKI|District 6
01/15/2024   17:00:01  PM|MVC|17XX  WAGONER CT|HALE MOKU|District 5
01/15/2024   16:48:01  PM|TRESPASS WARN|11XX  MAPUNAPUNA ST|MAPUNAPUNA|District 5
01/15/2024   16:33:25  PM|TRAFFIC COMPLAINT|51XX  PALI HWY|NUUANU|District 5
01/15/2024   16:16:25  PM|WARRANT ARREST|PALI HWY / S SCHOOL ST|PUNCHBOWL|District 1
01/15/2024   16:04:50  PM|MISC SERVICE CALL|20XX  PALOLO AVE|KAIMUKI|District 7
01/15/2024   15:55:29  PM|THREATENING|40XX  BOUGAINVILLE PL|KALAELOA|District 8
01/15/2024   15:46:32  PM|AGGRAVATED ASSAULT|29XX  S KING ST|KAPAHULU|District 7
01/15/2024   15:36:02  PM|THREATENING|17XX  PALOLO AVE|KAIMUKI|District 7
01/15/2024   15:02:49  PM|UNATTENDED DEATH|9502XX  WAIKALANI DR|MILILANI|District 2
01/15/2024   10:17:18  AM|VEH TOWED|DATE ST / LUKEPANE AVE|KAPAHULU|District 7
