02/27/2024   20:12:58  PM|THREATENING|56XX  JOSEPH LN|SCHOFIELD|District 2
02/27/2024   20:12:51  PM|NUISANCE COMPLAINT|31XX  WAIALAE AVE|KAIMUKI|District 7
02/27/2024   20:11:22  PM|MISC SERVICE CALL|14XX  LIHOLIHO ST|MAKIKI|District 1
02/27/2024   20:11:11  PM|HAZARDOUS DRIVER|1XX  H1E FWY|PEARL CITY|District 3
02/27/2024   20:10:58  PM|ARGUMENT|70XX  HAWAII KAI DR|HAWAII KAI|District 7
02/27/2024   20:09:38  PM|MEDICAL ASSIST|50XX  IROQUOIS AVE|IROQUOIS|District 8
02/27/2024   20:05:49  PM|HAZARDOUS DRIVER|51XX  PALI HWY|NUUANU|District 5
02/27/2024   19:56:55  PM|DEFIB CALL|26XX  PACIFIC HTS RD|PUNCHBOWL|District 1
02/27/2024   19:44:21  PM|UNATTENDED DEATH|10XX  KAM HWY|PEARL CITY|District 3
02/27/2024   19:20:48  PM|ARGUMENT FAMILY|47XX  W ELUA WAY|IROQUOIS|District 8
02/27/2024   19:17:36  PM|TRESPASS WARN|8508XX  FARRINGTON HWY|WAIANAE|District 8
02/27/2024   19:13:11  PM|FOLLOW UP|9810XX  MOANALUA RD|AIEA|District 3
