11/04/2023   07:24:40  AM|SUSP PERSON|9900XX  MOANALUA RD|AIEA|District 3
11/04/2023   07:20:53  AM|MISC SERVICE CALL|5XX  KAIMAKE LOOP|KAILUA|District 4
11/04/2023   07:20:13  AM|TRO INITIAL|48XX  ELIMA WAY|IROQUOIS|District 8
11/04/2023   07:18:53  AM|MEDICAL ASSIST|10XX  RIVER ST|DOWNTOWN|District 1
11/04/2023   07:17:08  AM|ARGUMENT|5501XX  KULANUI ST|LAIE|District 4
11/04/2023   07:13:28  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
11/04/2023   07:11:48  AM|VEH TOWED|ALU ST / LIKELIKE HWY|KALIHI|District 5
11/04/2023   07:11:05  AM|WEAPONS|4116XX  KALANIANAOLE HWY|WAIMANALO|District 4
11/04/2023   07:10:12  AM|MVC VEH TOWED|SARATOGA AVE / ENTERPRISE AVE|KALAELOA|District 8
11/04/2023   07:08:30  AM|SUSP CIRCUMSTANCE|KAIAU AVE / HALANA ST|KAPOLEI|District 8
11/04/2023   06:03:45  AM|MVC|LUNALILO ST / KEEAUMOKU ST|MAKIKI|District 1
