06/29/2024   10:52:17  AM|ARGUMENT FAMILY|10XX  PUOLO DR|ALIAMANU|District 5
06/29/2024   10:48:12  AM|VEH TOWED|15XX  MAKIKI ST|MAKIKI|District 1
06/29/2024   10:39:28  AM|NUISANCE COMPLAINT|5901XX  KAM HWY|SUNSET|District 2
06/29/2024   10:30:15  AM|FOLLOW UP|1XX  KANEOHE BAY DR|KAILUA|District 4
06/29/2024   10:22:09  AM|MISC CRIME OFFENSE|4XX  HOBRON LN|WAIKIKI|District 6
06/29/2024   10:11:47  AM|ROBBERY|21XX  KALAKAUA AVE|WAIKIKI|District 6
06/29/2024   10:09:33  AM|AGGRAVATED ASSAULT|1XX  PAOAKALANI AVE|WAIKIKI|District 6
06/29/2024   09:47:28  AM|MEDICAL ASSIST|5XX  ONEAWA ST|KAILUA|District 4
06/29/2024   09:08:04  AM|WARRANT ARREST|10XX  WAIMANO HOME RD|PEARL CITY|District 3
06/29/2024   08:56:07  AM|UNATTENDED DEATH|4500XX  KANEOHE BAY DR|KANEOHE|District 4
06/29/2024   07:51:54  AM|THEFT|5603XX  PEAWINI PL|KAHUKU|District 4
06/29/2024   03:56:22  AM|MVC VEH TOWED|KANEOHE BAY DR / NOHEA PL|KANEOHE|District 4
